Message Type,Device_ID,Sequence Number,Timestamp,Batch Count,Valid Checksum,Arrival,Duplicate Flag,Gap Flag,Bytes Per Report,CPU Time Per Report(ms)
1,1,28,1765563526,1,True,1765563527.1440697,1,0,32,0.04506900040723849
1,1,27,1765563525,3,True,1765563527.152673,1,0,74,0.05934899945714278
1,1,68,1765563527,1,True,1765563527.15294,1,0,32,0.03987600030086469
1,1,69,1765563527,2,True,1765563527.1978145,1,0,53,0.06320400007098215
1,1,70,1765563527,2,True,1765563527.2370746,1,0,53,0.06549000045197317
1,1,32,1765563526,1,True,1765563527.2431798,1,0,32,0.036204000025463756
1,1,34,1765563526,2,True,1765563527.2448092,1,0,53,0.04971900034433929
1,1,31,1765563526,1,True,1765563527.2495892,1,0,32,0.09030100045492873
1,1,30,1765563526,3,True,1765563527.250704,1,0,73,0.04642400017473847
1,1,33,1765563526,1,True,1765563527.2523925,1,0,32,0.03515699972922448
1,1,71,1765563527,1,True,1765563527.2600791,1,0,32,0.031583000236423686
1,1,72,1765563527,3,True,1765563527.2692456,1,0,74,0.06441599998652237
1,1,73,1765563527,3,True,1765563527.293135,1,0,74,0.06827099969086703
1,1,74,1765563527,3,True,1765563527.3154764,1,0,74,0.08147600055963267
1,1,75,1765563527,2,True,1765563527.3380318,1,0,52,0.062449000324704684
1,1,37,1765563526,1,True,1765563527.3404093,1,0,32,0.040408000131719746
1,1,35,1765563526,2,True,1765563527.3423169,1,0,53,0.0530420002178289
1,1,36,1765563526,2,True,1765563527.3460789,1,0,53,0.053904000196780544
1,1,76,1765563527,3,True,1765563527.360077,1,0,74,0.11416199959057849
1,1,77,1765563527,1,True,1765563527.3744156,1,0,32,0.04279200038581621
1,1,78,1765563527,3,True,1765563527.3941264,1,0,73,0.07132300015655346
1,1,79,1765563527,2,True,1765563527.4201725,1,0,53,0.07231000017782208
1,1,80,1765563527,3,True,1765563527.4290462,1,0,72,0.053235000450513326
1,1,38,1765563526,2,True,1765563527.4417481,1,0,51,0.056122000387404114
1,1,41,1765563526,3,True,1765563527.4445367,1,0,74,0.06361099985952023
1,1,39,1765563526,2,True,1765563527.4476082,1,0,52,0.05395199968916131
